Derives_from,Accession,Name,Arm,Chromosome,Strand,Start,End
MI0003145,MIMAT0002828,hsa-miR-519e-5p,5p,chr19,+,53679953,53679974
MI0003145,MIMAT0002829,hsa-miR-519e-3p,3p,chr19,+,53679991,53680012
MI0003146,MIMAT0002830,hsa-miR-520f-3p,3p,chr19,+,53682213,53682234
MI0003146,MIMAT0026609,hsa-miR-520f-5p,5p,chr19,+,53682173,53682194
MI0003147,MIMAT0002826,hsa-miR-515-5p,5p,chr19,+,53685022,53685045
MI0003147,MIMAT0002827,hsa-miR-515-3p,3p,chr19,+,53685059,53685080
MI0003148,MIMAT0002831,hsa-miR-519c-5p,5p,chr19,+,53686484,53686505
MI0003148,MIMAT0002832,hsa-miR-519c-3p,3p,chr19,+,53686522,53686543
MI0003832,MIMAT0005799,hsa-miR-1283,5p,chr19,+,53688494,53688515
MI0003149,MIMAT0002833,hsa-miR-520a-5p,5p,chr19,+,53690895,53690915
MI0003149,MIMAT0002834,hsa-miR-520a-3p,3p,chr19,+,53690933,53690954
MI0003150,MIMAT0002835,hsa-miR-526b-5p,5p,chr19,+,53694406,53694428
MI0003150,MIMAT0002836,hsa-miR-526b-3p,3p,chr19,+,53694443,53694464
MI0003151,MIMAT0005454,hsa-miR-519b-5p,5p,chr19,+,53695225,53695246
MI0003151,MIMAT0002837,hsa-miR-519b-3p,3p,chr19,+,53695263,53695284
MI0003152,MIMAT0002838,hsa-miR-525-5p,5p,chr19,+,53697547,53697567
MI0003152,MIMAT0002839,hsa-miR-525-3p,3p,chr19,+,53697584,53697605
MI0003153,MIMAT0005449,hsa-miR-523-5p,5p,chr19,+,53698400,53698421
MI0003153,MIMAT0002840,hsa-miR-523-3p,3p,chr19,+,53698437,53698459
MI0003154,MIMAT0002841,hsa-miR-518f-5p,5p,chr19,+,53700030,53700051
MI0003154,MIMAT0002842,hsa-miR-518f-3p,3p,chr19,+,53700067,53700087
MI0003155,MIMAT0002843,hsa-miR-520b-3p,3p,chr19,+,53701267,53701287
MI0003155,MIMAT0037325,hsa-miR-520b-5p,5p,chr19,+,53701228,53701248
MI0003156,MIMAT0002844,hsa-miR-518b,3p,chr19,+,53702787,53702808
MI0003157,MIMAT0002845,hsa-miR-526a-5p,5p,chr19,+,53706266,53706287
MI0003157,MIMAT0037326,hsa-miR-526a-3p,3p,chr19,+,53706303,53706324
MI0003158,MIMAT0005455,hsa-miR-520c-5p,5p,chr19,+,53707468,53707489
MI0003158,MIMAT0002846,hsa-miR-520c-3p,3p,chr19,+,53707506,53707527
MI0003159,MIMAT0002847,hsa-miR-518c-5p,5p,chr19,+,53708758,53708780
MI0003159,MIMAT0002848,hsa-miR-518c-3p,3p,chr19,+,53708796,53708818
MI0003160,MIMAT0002849,hsa-miR-524-5p,5p,chr19,+,53711017,53711038
MI0003160,MIMAT0002850,hsa-miR-524-3p,3p,chr19,+,53711054,53711074
MI0003161,MIMAT0002851,hsa-miR-517-5p,5p,chr19,+,53712282,53712303
MI0003161,MIMAT0002852,hsa-miR-517a-3p,3p,chr19,+,53712321,53712342
MI0003162,MIMAT0002853,hsa-miR-519d-3p,3p,chr19,+,53713400,53713421
MI0003162,MIMAT0026610,hsa-miR-519d-5p,5p,chr19,+,53713361,53713385
MI0003163,MIMAT0002854,hsa-miR-521,3p,chr19,+,53716647,53716668
MI0003164,MIMAT0002855,hsa-miR-520d-5p,5p,chr19,+,53720111,53720130
MI0003164,MIMAT0002856,hsa-miR-520d-3p,3p,chr19,+,53720149,53720170
MI0003165,MIMAT0002851,hsa-miR-517-5p,5p,chr19,+,53721081,53721102
MI0003165,MIMAT0002857,hsa-miR-517b-3p,3p,chr19,+,53721118,53721139
MI0003166,MIMAT0002858,hsa-miR-520g-3p,3p,chr19,+,53722220,53722243
MI0003166,MIMAT0026611,hsa-miR-520g-5p,5p,chr19,+,53722182,53722204
MI0003167,MIMAT0002859,hsa-miR-516b-5p,5p,chr19,+,53725457,53725478
MI0003167,MIMAT0002860,hsa-miR-516b-3p,3p,chr19,+,53725497,53725514
MI0003168,MIMAT0002845,hsa-miR-526a-5p,5p,chr19,+,53726928,53726949
MI0003169,MIMAT0005450,hsa-miR-518e-5p,5p,chr19,+,53729853,53729874
MI0003169,MIMAT0002861,hsa-miR-518e-3p,3p,chr19,+,53729891,53729911
MI0003170,MIMAT0005457,hsa-miR-518a-5p,5p,chr19,+,53731019,53731038
MI0003170,MIMAT0002863,hsa-miR-518a-3p,3p,chr19,+,53731056,53731077
MI0003171,MIMAT0005456,hsa-miR-518d-5p,5p,chr19,+,53734892,53734913
MI0003171,MIMAT0002864,hsa-miR-518d-3p,3p,chr19,+,53734929,53734949
MI0003172,MIMAT0002859,hsa-miR-516b-5p,5p,chr19,+,53736860,53736881
MI0003172,MIMAT0002860,hsa-miR-516b-3p,3p,chr19,+,53736905,53736922
MI0003173,MIMAT0005457,hsa-miR-518a-5p,5p,chr19,+,53739348,53739367
MI0003173,MIMAT0002863,hsa-miR-518a-3p,3p,chr19,+,53739385,53739406
MI0003174,MIMAT0002851,hsa-miR-517-5p,5p,chr19,+,53741332,53741353
MI0003174,MIMAT0002866,hsa-miR-517c-3p,3p,chr19,+,53741369,53741390
MI0003175,MIMAT0002867,hsa-miR-520h,3p,chr19,+,53742566,53742587
MI0003176,MIMAT0002854,hsa-miR-521,3p,chr19,+,53748689,53748710
MI0003177,MIMAT0005451,hsa-miR-522-5p,5p,chr19,+,53751226,53751247
MI0003177,MIMAT0002868,hsa-miR-522-3p,3p,chr19,+,53751264,53751285
MI0003178,MIMAT0005452,hsa-miR-519a-5p,5p,chr19,+,53752411,53752432
MI0003178,MIMAT0002869,hsa-miR-519a-3p,3p,chr19,+,53752449,53752470
MI0003179,MIMAT0002862,hsa-miR-527,5p,chr19,+,53754031,53754050
MI0003180,MIMAT0004770,hsa-miR-516a-5p,5p,chr19,+,53756756,53756778
MI0003180,MIMAT0006778,hsa-miR-516a-3p,3p,chr19,+,53756801,53756818
MI0006430,MIMAT0005799,hsa-miR-1283,5p,chr19,+,53758245,53758266
MI0003181,MIMAT0004770,hsa-miR-516a-5p,5p,chr19,+,53761148,53761170
MI0003181,MIMAT0006778,hsa-miR-516a-3p,3p,chr19,+,53761193,53761210
MI0003182,MIMAT0002869,hsa-miR-519a-3p,3p,chr19,+,53762397,53762418
MI0003182,MIMAT0037327,hsa-miR-519a-2-5p,5p,chr19,+,53762358,53762378
MI0000779,MIMAT0004687,hsa-miR-371a-5p,5p,chr19,+,53787680,53787699
MI0000779,MIMAT0000723,hsa-miR-371a-3p,3p,chr19,+,53787716,53787738
MI0017393,MIMAT0019892,hsa-miR-371b-5p,5p,chr19,-,53787715,53787736
MI0017393,MIMAT0019893,hsa-miR-371b-3p,3p,chr19,-,53787678,53787700
MI0000780,MIMAT0000724,hsa-miR-372-3p,3p,chr19,+,53787931,53787953
MI0000780,MIMAT0026484,hsa-miR-372-5p,5p,chr19,+,53787895,53787917
MI0000781,MIMAT0000725,hsa-miR-373-5p,5p,chr19,+,53788710,53788731
MI0000781,MIMAT0000726,hsa-miR-373-3p,3p,chr19,+,53788748,53788770
MI0005757,MIMAT0004978,hsa-miR-935,3p,chr19,+,53982362,53982384
MI0017391,MIMAT0019889,hsa-miR-4752,5p,chr19,+,54282118,54282139
MI0025897,MIMAT0030988,hsa-miR-8061,5p,chr19,+,54645319,54645339
MI0025751,MIMAT0031178,hsa-miR-7975,3p,chr19,-,55123225,55123242
MI0022649,MIMAT0027508,hsa-miR-6804-5p,5p,chr19,-,55230927,55230947
MI0022649,MIMAT0027509,hsa-miR-6804-3p,3p,chr19,-,55230885,55230906
MI0022647,MIMAT0027504,hsa-miR-6802-5p,5p,chr19,-,55239952,55239971
MI0022647,MIMAT0027505,hsa-miR-6802-3p,3p,chr19,-,55239912,55239933
MI0022648,MIMAT0027506,hsa-miR-6803-5p,5p,chr19,-,55245224,55245245
MI0022648,MIMAT0027507,hsa-miR-6803-3p,3p,chr19,-,55245186,55245207
MI0022650,MIMAT0027510,hsa-miR-6805-5p,5p,chr19,+,55388186,55388207
MI0022650,MIMAT0027511,hsa-miR-6805-3p,3p,chr19,+,55388220,55388242
MI0022651,MIMAT0027512,hsa-miR-6806-5p,5p,chr19,+,58334693,58334716
MI0022651,MIMAT0027513,hsa-miR-6806-3p,3p,chr19,+,58334730,58334751
MI0017394,MIMAT0019894,hsa-miR-4754,5p,chr19,-,58386827,58386849
MI0033418,MIMAT0041619,hsa-miR-10394-5p,5p,chr19,+,58393364,58393387
MI0033418,MIMAT0041620,hsa-miR-10394-3p,3p,chr19,+,58393424,58393446
MI0022652,MIMAT0027514,hsa-miR-6807-5p,5p,chr19,+,58550285,58550306
MI0022652,MIMAT0027515,hsa-miR-6807-3p,3p,chr19,+,58550354,58550376
MI0023618,MIMAT0028226,hsa-miR-7158-5p,5p,chr2,+,5974662,5974685
MI0023618,MIMAT0028227,hsa-miR-7158-3p,3p,chr2,+,5974712,5974732
MI0024354,MIMAT0029310,hsa-miR-7515,3p,chr2,+,6650418,6650435
MI0015868,MIMAT0016890,hsa-miR-4261,3p,chr2,-,10192624,10192639
MI0016768,MIMAT0018944,hsa-miR-4429,5p,chr2,-,11540652,11540671
MI0014141,MIMAT0014987,hsa-miR-548s,3p,chr2,+,11767495,11767517
MI0015872,MIMAT0016894,hsa-miR-4262,5p,chr2,-,11836943,11836959
MI0016082,MIMAT0018108,hsa-miR-3681-5p,5p,chr2,+,12199138,12199159
MI0016082,MIMAT0018109,hsa-miR-3681-3p,3p,chr2,+,12199174,12199195
MI0014142,MIMAT0014988,hsa-miR-3125,5p,chr2,+,12737376,12737395
MI0017398,MIMAT0019901,hsa-miR-4757-5p,5p,chr2,+,19348439,19348461
MI0017398,MIMAT0019902,hsa-miR-4757-3p,3p,chr2,+,19348476,19348497
MI0003815,MIMAT0005797,hsa-miR-1301-3p,3p,chr2,-,25328651,25328674
MI0003815,MIMAT0026639,hsa-miR-1301-5p,5p,chr2,-,25328689,25328707
MI0015876,MIMAT0016898,hsa-miR-4263,3p,chr2,+,27996422,27996439
MI0003564,MIMAT0003222,hsa-miR-558,3p,chr2,+,32532213,32532231
MI0017406,MIMAT0019916,hsa-miR-4765,3p,chr2,+,32635300,32635321
MI0016769,MIMAT0018945,hsa-miR-4430,5p,chr2,+,33418519,33418536
MI0016770,MIMAT0018946,hsa-miR-548ad-3p,3p,chr2,+,35471453,35471474
MI0016770,MIMAT0032114,hsa-miR-548ad-5p,5p,chr2,+,35471420,35471439
MI0003565,MIMAT0003223,hsa-miR-559,5p,chr2,+,47377690,47377710
MI0025747,MIMAT0031175,hsa-miR-548ba,5p,chr2,+,49059603,49059624
MI0027288,MIMAT0033692,hsa-miR-8485,3p,chr2,-,50696172,50696192
MI0016771,MIMAT0018947,hsa-miR-4431,5p,chr2,-,52702588,52702609
MI0016083,MIMAT0018110,hsa-miR-3682-3p,3p,chr2,-,53849136,53849156
MI0016083,MIMAT0019222,hsa-miR-3682-5p,5p,chr2,-,53849170,53849191
MI0000293,MIMAT0000274,hsa-miR-217-5p,5p,chr2,-,55983020,55983042
MI0000293,MIMAT0037308,hsa-miR-217-3p,3p,chr2,-,55982984,55983005
MI0000292,MIMAT0000273,hsa-miR-216a-5p,5p,chr2,-,55989020,55989041
MI0000292,MIMAT0022844,hsa-miR-216a-3p,3p,chr2,-,55988981,55989002
MI0005569,MIMAT0004959,hsa-miR-216b-5p,5p,chr2,-,56000764,56000785
MI0005569,MIMAT0026721,hsa-miR-216b-3p,3p,chr2,-,56000724,56000747
MI0016772,MIMAT0018948,hsa-miR-4432,3p,chr2,-,60387362,60387381
MI0018171,MIMAT0021123,hsa-miR-5192,3p,chr2,+,62205882,62205903
MI0025511,MIMAT0030413,hsa-miR-4433b-5p,5p,chr2,-,64340809,64340829
MI0025511,MIMAT0030414,hsa-miR-4433b-3p,3p,chr2,-,64340769,64340789
MI0016773,MIMAT0018949,hsa-miR-4433a-3p,3p,chr2,+,64340809,64340829
MI0016773,MIMAT0020956,hsa-miR-4433a-5p,5p,chr2,+,64340770,64340790
MI0016774,MIMAT0018950,hsa-miR-4434,5p,chr2,+,64525520,64525537
MI0017422,MIMAT0019936,hsa-miR-4778-5p,5p,chr2,-,66358297,66358318
MI0017422,MIMAT0019937,hsa-miR-4778-3p,3p,chr2,-,66358257,66358278
MI0014143,MIMAT0014989,hsa-miR-3126-5p,5p,chr2,+,69103691,69103712
MI0014143,MIMAT0015377,hsa-miR-3126-3p,3p,chr2,+,69103727,69103748
MI0006347,MIMAT0005876,hsa-miR-1285-3p,3p,chr2,-,70252933,70252954
MI0017866,MIMAT0021019,hsa-miR-5000-5p,5p,chr2,+,75090835,75090856
MI0017866,MIMAT0021020,hsa-miR-5000-3p,3p,chr2,+,75090873,75090894
MI0015877,MIMAT0016899,hsa-miR-4264,5p,chr2,-,79649333,79649349
MI0025916,MIMAT0031007,hsa-miR-8080,5p,chr2,-,79866551,79866573
MI0020348,MIMAT0023696,hsa-miR-6071,5p,chr2,-,85783657,85783675
MI0017423,MIMAT0019938,hsa-miR-4779,3p,chr2,-,86193037,86193058
MI0017412,MIMAT0019925,hsa-miR-4771,3p,chr2,+,87194830,87194850
MI0016775,MIMAT0018951,hsa-miR-4435,5p,chr2,+,87629764,87629785
MI0017424,MIMAT0019939,hsa-miR-4780,3p,chr2,-,88082528,88082549
MI0016776,MIMAT0018952,hsa-miR-4436a,3p,chr2,+,88812425,88812445
MI0014144,MIMAT0014990,hsa-miR-3127-5p,5p,chr2,+,96798288,96798310
MI0014144,MIMAT0019201,hsa-miR-3127-3p,3p,chr2,+,96798324,96798345
MI0019303,MIMAT0022489,hsa-miR-5696,5p,chr2,+,101309453,101309474
MI0017414,MIMAT0019926,hsa-miR-4772-5p,5p,chr2,+,102432300,102432321
MI0017414,MIMAT0019927,hsa-miR-4772-3p,3p,chr2,+,102432336,102432357
MI0015869,MIMAT0016891,hsa-miR-4265,3p,chr2,-,109141500,109141518
MI0015870,MIMAT0016892,hsa-miR-4266,3p,chr2,-,109313581,109313596
MI0015871,MIMAT0016893,hsa-miR-4267,5p,chr2,-,110070017,110070032
MI0017425,MIMAT0019940,hsa-miR-4436b-5p,5p,chr2,-,110086490,110086511
MI0017425,MIMAT0019941,hsa-miR-4436b-3p,3p,chr2,-,110086443,110086464
MI0019110,MIMAT0019940,hsa-miR-4436b-5p,5p,chr2,+,110284865,110284886
MI0019110,MIMAT0019941,hsa-miR-4436b-3p,3p,chr2,+,110284912,110284933
MI0016777,MIMAT0018951,hsa-miR-4435,5p,chr2,-,111321061,111321082
MI0017413,MIMAT0019925,hsa-miR-4771,3p,chr2,-,111771070,111771090
MI0006364,MIMAT0005890,hsa-miR-1302,3p,chr2,-,113583004,113583024
MI0017427,MIMAT0019944,hsa-miR-4782-5p,5p,chr2,-,113721338,113721359
MI0017427,MIMAT0019945,hsa-miR-4782-3p,3p,chr2,-,113721298,113721319
MI0017428,MIMAT0019946,hsa-miR-4783-5p,5p,chr2,-,127423586,127423606
MI0017428,MIMAT0019947,hsa-miR-4783-3p,3p,chr2,-,127423546,127423568
MI0017429,MIMAT0019948,hsa-miR-4784,5p,chr2,-,131491208,131491227
MI0006336,MIMAT0005867,hsa-miR-663b,3p,chr2,-,132256970,132256991
MI0032316,MIMAT0039766,hsa-miR-9986,5p,chr2,+,132433731,132433750
MI0016080,MIMAT0018104,hsa-miR-3679-5p,5p,chr2,+,134127130,134127152
MI0016080,MIMAT0018105,hsa-miR-3679-3p,3p,chr2,+,134127168,134127189
MI0019150,MIMAT0022299,hsa-miR-5590-5p,5p,chr2,+,134857820,134857840
MI0019150,MIMAT0022300,hsa-miR-5590-3p,3p,chr2,+,134857853,134857873
MI0000447,MIMAT0000424,hsa-miR-128-3p,3p,chr2,+,135665446,135665466
MI0000447,MIMAT0026477,hsa-miR-128-1-5p,5p,chr2,+,135665411,135665433
MI0023617,MIMAT0028224,hsa-miR-7157-5p,5p,chr2,-,140586663,140586685
MI0023617,MIMAT0028225,hsa-miR-7157-3p,3p,chr2,-,140586626,140586647
MI0031827,MIMAT0039319,hsa-miR-9899,3p,chr2,-,149330300,149330321
MI0017415,MIMAT0019928,hsa-miR-4773,3p,chr2,+,151368381,151368402
MI0017416,MIMAT0019928,hsa-miR-4773,3p,chr2,-,151368343,151368364
MI0022735,MIMAT0027676,hsa-miR-6888-5p,5p,chr2,+,159186840,159186859
MI0022735,MIMAT0027677,hsa-miR-6888-3p,3p,chr2,+,159186881,159186901
MI0017430,MIMAT0019949,hsa-miR-4785,3p,chr2,-,160407819,160407839
MI0017417,MIMAT0019929,hsa-miR-4774-5p,5p,chr2,+,168582953,168582974
MI0017417,MIMAT0019930,hsa-miR-4774-3p,3p,chr2,+,168582989,168583009
MI0005755,MIMAT0004976,hsa-miR-933,3p,chr2,-,175167642,175167663
MI0000267,MIMAT0000254,hsa-miR-10b-5p,5p,chr2,+,176150329,176150351
MI0000267,MIMAT0004556,hsa-miR-10b-3p,3p,chr2,+,176150368,176150389
MI0025240,MIMAT0030019,hsa-miR-7704,5p,chr2,+,176188843,176188861
MI0006381,MIMAT0005898,hsa-miR-1246,5p,chr2,-,176601024,176601042
MI0016787,MIMAT0018962,hsa-miR-4444,3p,chr2,+,177212768,177212785
MI0014145,MIMAT0014991,hsa-miR-3128,5p,chr2,-,177255984,177256006
MI0022224,MIMAT0025480,hsa-miR-6512-5p,5p,chr2,-,177313853,177313874
MI0022224,MIMAT0025481,hsa-miR-6512-3p,3p,chr2,-,177313811,177313832
MI0006392,MIMAT0005909,hsa-miR-1258,3p,chr2,-,179860845,179860865
MI0016778,MIMAT0018953,hsa-miR-4437,3p,chr2,-,181305593,181305613
MI0016779,MIMAT0018954,hsa-miR-548ae-3p,3p,chr2,+,184379017,184379037
MI0003567,MIMAT0003225,hsa-miR-561-3p,3p,chr2,+,188297552,188297573
MI0003567,MIMAT0022706,hsa-miR-561-5p,5p,chr2,+,188297517,188297538
MI0006380,MIMAT0005897,hsa-miR-1245a,3p,chr2,+,188978136,188978156
MI0017431,MIMAT0019950,hsa-miR-1245b-5p,5p,chr2,-,188978133,188978153
MI0017431,MIMAT0019951,hsa-miR-1245b-3p,3p,chr2,-,188978099,188978120
MI0015996,MIMAT0017983,hsa-miR-3606-5p,5p,chr2,+,188995645,188995665
MI0015996,MIMAT0022965,hsa-miR-3606-3p,3p,chr2,+,188995671,188995691
MI0014146,MIMAT0014992,hsa-miR-3129-5p,5p,chr2,-,189133082,189133103
MI0014146,MIMAT0019202,hsa-miR-3129-3p,3p,chr2,-,189133044,189133065
MI0014147,MIMAT0014994,hsa-miR-3130-3p,3p,chr2,-,206783245,206783265
MI0014147,MIMAT0014995,hsa-miR-3130-5p,5p,chr2,-,206783276,206783296
MI0014148,MIMAT0014994,hsa-miR-3130-3p,3p,chr2,+,206783277,206783297
MI0014148,MIMAT0014995,hsa-miR-3130-5p,5p,chr2,+,206783246,206783266
MI0015873,MIMAT0016895,hsa-miR-2355-5p,5p,chr2,-,207110043,207110063
MI0015873,MIMAT0017950,hsa-miR-2355-3p,3p,chr2,-,207109999,207110020
MI0025515,MIMAT0030420,hsa-miR-7845-5p,5p,chr2,+,207166402,207166422
MI0006365,MIMAT0005890,hsa-miR-1302,3p,chr2,-,207269328,207269348
MI0017418,MIMAT0019931,hsa-miR-4775,5p,chr2,+,207754816,207754837
MI0006375,MIMAT0005895,hsa-miR-548f-3p,3p,chr2,-,212426284,212426302
MI0017420,MIMAT0019932,hsa-miR-4776-5p,5p,chr2,-,212926306,212926327
MI0017420,MIMAT0019933,hsa-miR-4776-3p,3p,chr2,-,212926261,212926283
MI0017419,MIMAT0019932,hsa-miR-4776-5p,5p,chr2,+,212926266,212926287
MI0017419,MIMAT0019933,hsa-miR-4776-3p,3p,chr2,+,212926310,212926332
MI0016781,MIMAT0018956,hsa-miR-4438,3p,chr2,+,213758122,213758142
MI0022654,MIMAT0027518,hsa-miR-6809-5p,5p,chr2,-,217900602,217900623
MI0022654,MIMAT0027519,hsa-miR-6809-3p,3p,chr2,-,217900513,217900533
MI0022225,MIMAT0025482,hsa-miR-6513-5p,5p,chr2,-,218280164,218280186
MI0022225,MIMAT0025483,hsa-miR-6513-3p,3p,chr2,-,218280127,218280147
MI0022655,MIMAT0027520,hsa-miR-6810-5p,5p,chr2,+,218341916,218341938
MI0022655,MIMAT0027521,hsa-miR-6810-3p,3p,chr2,+,218341958,218341980
MI0000084,MIMAT0000083,hsa-miR-26b-5p,5p,chr2,+,218402657,218402677
MI0000084,MIMAT0004500,hsa-miR-26b-3p,3p,chr2,+,218402692,218402712
MI0029185,MIMAT0035542,hsa-miR-9500,5p,chr2,+,218823092,218823110
MI0000783,MIMAT0000728,hsa-miR-375-3p,3p,chr2,-,219001648,219001669
MI0000783,MIMAT0037313,hsa-miR-375-5p,5p,chr2,-,219001682,219001704
MI0014151,MIMAT0014996,hsa-miR-3131,5p,chr2,-,219058725,219058747
MI0000463,MIMAT0000439,hsa-miR-153-3p,3p,chr2,-,219294126,219294147
MI0014152,MIMAT0014997,hsa-miR-3132,5p,chr2,-,219549117,219549140
MI0015874,MIMAT0016896,hsa-miR-4268,3p,chr2,-,219906512,219906532
MI0016782,MIMAT0018957,hsa-miR-4439,5p,chr2,-,225010516,225010537
MI0019309,MIMAT0022495,hsa-miR-5702,3p,chr2,-,226658720,226658741
MI0019310,MIMAT0022496,hsa-miR-5703,3p,chr2,+,227472162,227472179
MI0017421,MIMAT0019934,hsa-miR-4777-5p,5p,chr2,+,231362723,231362744
MI0017421,MIMAT0019935,hsa-miR-4777-3p,3p,chr2,+,231362764,231362785
MI0006379,MIMAT0005896,hsa-miR-1244,3p,chr2,+,231713368,231713393
MI0007076,MIMAT0007349,hsa-miR-1471,5p,chr2,-,231892277,231892298
MI0003568,MIMAT0003226,hsa-miR-562,3p,chr2,+,232172713,232172732
MI0017867,MIMAT0021021,hsa-miR-5001-5p,5p,chr2,-,232550530,232550553
MI0017867,MIMAT0021022,hsa-miR-5001-3p,3p,chr2,-,232550493,232550514
MI0022656,MIMAT0027522,hsa-miR-6811-5p,5p,chr2,+,237510932,237510953
MI0022656,MIMAT0027523,hsa-miR-6811-3p,3p,chr2,+,237510968,237510988
MI0016783,MIMAT0018958,hsa-miR-4440,3p,chr2,-,239068829,239068850
MI0016784,MIMAT0018959,hsa-miR-4441,3p,chr2,-,239085828,239085844
MI0015875,MIMAT0016897,hsa-miR-4269,5p,chr2,+,239305472,239305492
MI0017432,MIMAT0019952,hsa-miR-2467-5p,5p,chr2,-,239351771,239351793
MI0017432,MIMAT0019953,hsa-miR-2467-3p,3p,chr2,-,239351732,239351753
MI0017433,MIMAT0019954,hsa-miR-4786-5p,5p,chr2,-,239943063,239943084
MI0017433,MIMAT0019955,hsa-miR-4786-3p,3p,chr2,-,239943023,239943044
MI0000478,MIMAT0000450,hsa-miR-149-5p,5p,chr2,+,240456015,240456037
MI0000478,MIMAT0004609,hsa-miR-149-3p,3p,chr2,+,240456056,240456076
MI0014153,MIMAT0014998,hsa-miR-3133,5p,chr2,+,241477914,241477935
MI0022716,MIMAT0027638,hsa-miR-6869-5p,5p,chr20,-,1392940,1392961
MI0022716,MIMAT0027639,hsa-miR-6869-3p,3p,chr20,-,1392904,1392924
MI0006433,MIMAT0005943,hsa-miR-1292-5p,5p,chr20,+,2652779,2652803
MI0006433,MIMAT0022948,hsa-miR-1292-3p,3p,chr20,+,2652819,2652838
MI0000108,MIMAT0009196,hsa-miR-103a-2-5p,5p,chr20,+,3917504,3917526
MI0000108,MIMAT0000101,hsa-miR-103a-3p,3p,chr20,+,3917541,3917563
MI0007262,MIMAT0007402,hsa-miR-103b,5p,chr20,-,3917541,3917563
MI0025898,MIMAT0030989,hsa-miR-8062,5p,chr20,+,7371618,7371638
MI0022717,MIMAT0027640,hsa-miR-6870-5p,5p,chr20,-,10649672,10649690
MI0022717,MIMAT0027641,hsa-miR-6870-3p,3p,chr20,-,10649636,10649657
MI0014237,MIMAT0015076,hsa-miR-3192-5p,5p,chr20,+,18470624,18470646
MI0014237,MIMAT0027027,hsa-miR-3192-3p,3p,chr20,+,18470662,18470682
MI0003672,MIMAT0003326,hsa-miR-663a,5p,chr20,-,26208243,26208264
MI0014238,MIMAT0015077,hsa-miR-3193,5p,chr20,+,31607186,31607207
MI0008193,MIMAT0006765,hsa-miR-1825,3p,chr20,+,32237830,32237847
MI0017395,MIMAT0019895,hsa-miR-4755-5p,5p,chr20,+,34049128,34049149
MI0017395,MIMAT0019896,hsa-miR-4755-3p,3p,chr20,+,34049162,34049183
MI0003659,MIMAT0003314,hsa-miR-644a,3p,chr20,+,34466385,34466403
MI0003183,MIMAT0002870,hsa-miR-499a-5p,5p,chr20,+,34990408,34990428
MI0003183,MIMAT0004772,hsa-miR-499a-3p,3p,chr20,+,34990445,34990466
MI0017396,MIMAT0019897,hsa-miR-499b-5p,5p,chr20,-,34990443,34990463
MI0017396,MIMAT0019898,hsa-miR-499b-3p,3p,chr20,-,34990406,34990427
MI0006350,MIMAT0005879,hsa-miR-1289,3p,chr20,-,35453990,35454012
MI0016746,MIMAT0005919,hsa-miR-548o-3p,3p,chr20,+,38516607,38516628
MI0016746,MIMAT0022738,hsa-miR-548o-5p,5p,chr20,+,38516569,38516590
MI0022718,MIMAT0027642,hsa-miR-6871-5p,5p,chr20,+,41169028,41169049
MI0022718,MIMAT0027643,hsa-miR-6871-3p,3p,chr20,+,41169057,41169078
MI0016046,MIMAT0018065,hsa-miR-3646,3p,chr20,+,44408177,44408198
MI0022657,MIMAT0027524,hsa-miR-6812-5p,5p,chr20,+,45425515,45425539
MI0022657,MIMAT0027525,hsa-miR-6812-3p,3p,chr20,+,45425553,45425573
MI0016007,MIMAT0017997,hsa-miR-3617-5p,5p,chr20,-,45705150,45705171
MI0016007,MIMAT0022966,hsa-miR-3617-3p,3p,chr20,-,45705109,45705131
MI0016006,MIMAT0017995,hsa-miR-3616-5p,5p,chr20,+,47166985,47167006
MI0016006,MIMAT0017996,hsa-miR-3616-3p,3p,chr20,+,47167026,47167048
MI0039724,MIMAT0049016,hsa-miR-12122,5p,chr20,+,49863869,49863893
MI0003660,MIMAT0003315,hsa-miR-645,3p,chr20,+,50585846,50585864
MI0006366,MIMAT0005890,hsa-miR-1302,3p,chr20,-,50614689,50614709
MI0014239,MIMAT0015078,hsa-miR-3194-5p,5p,chr20,-,51452948,51452968
MI0014239,MIMAT0019218,hsa-miR-3194-3p,3p,chr20,-,51452912,51452933
MI0017397,MIMAT0019899,hsa-miR-4756-5p,5p,chr20,-,54068452,54068474
MI0017397,MIMAT0019900,hsa-miR-4756-3p,3p,chr20,-,54068418,54068439
MI0015865,MIMAT0016887,hsa-miR-4325,5p,chr20,-,57321564,57321581
MI0000747,MIMAT0000690,hsa-miR-296-5p,5p,chr20,-,58817661,58817681
MI0000747,MIMAT0004679,hsa-miR-296-3p,3p,chr20,-,58817626,58817647
MI0005523,MIMAT0004901,hsa-miR-298,5p,chr20,-,58818280,58818303
MI0003661,MIMAT0003316,hsa-miR-646,3p,chr20,+,60308534,60308552
MI0016900,MIMAT0019072,hsa-miR-4533,5p,chr20,+,60478119,60478140
MI0016794,MIMAT0018969,hsa-miR-548ag,5p,chr20,+,60564565,60564585
MI0006391,MIMAT0005908,hsa-miR-1257,5p,chr20,-,61953621,61953641
MI0014240,MIMAT0015079,hsa-miR-3195,5p,chr20,+,62064812,62064828
MI0017399,MIMAT0019903,hsa-miR-4758-5p,5p,chr20,-,62332534,62332556
MI0017399,MIMAT0019904,hsa-miR-4758-3p,3p,chr20,-,62332490,62332512
MI0000651,MIMAT0000416,hsa-miR-1-3p,3p,chr20,+,62554351,62554372
